net number,signal type,block number,,signal name,pin
1,4,132,,"x10_y8_mslice1_b_0"
1,4,132,,"x10_y8_mslice1_sr"
1,4,131,,"x10_y8_mslice0_sr"
1,4,132,,"x10_y8_mslice1_ce"
1,4,131,,"x10_y8_mslice0_ce"
1,4,133,,"x10_y9_lslice2_sr"
1,4,134,,"x10_y10_lslice3_sr"
1,4,137,,"x10_y11_lslice3_sr"
1,4,136,,"x10_y11_lslice2_sr"
1,4,140,,"x10_y12_lslice2_a_0"
1,4,141,,"x10_y12_lslice3_c_1"
1,4,140,,"x10_y12_lslice2_c_1"
1,4,141,,"x10_y12_lslice3_d_1"
1,4,141,,"x10_y12_lslice3_c_0"
1,4,140,,"x10_y12_lslice2_d_1"
1,4,140,,"x10_y12_lslice2_c_0"
1,4,141,,"x10_y12_lslice3_d_0"
1,4,141,,"x10_y12_lslice3_e_0"
1,4,141,,"x10_y12_lslice3_e_1"
1,4,140,,"x10_y12_lslice2_e_1"
1,4,141,,"x10_y12_lslice3_ce"
1,4,140,,"x10_y12_lslice2_ce"
1,4,144,,"x10_y13_lslice3_c_1"
1,4,143,,"x10_y13_lslice2_d_0"
1,4,143,,"x10_y13_lslice2_c_1"
1,4,144,,"x10_y13_lslice3_d_1"
1,4,144,,"x10_y13_lslice3_c_0"
1,4,143,,"x10_y13_lslice2_d_1"
1,4,143,,"x10_y13_lslice2_c_0"
1,4,144,,"x10_y13_lslice3_d_0"
1,4,144,,"x10_y13_lslice3_e_0"
1,4,144,,"x10_y13_lslice3_e_1"
1,4,143,,"x10_y13_lslice2_e_0"
1,4,143,,"x10_y13_lslice2_e_1"
1,4,144,,"x10_y13_lslice3_ce"
1,4,143,,"x10_y13_lslice2_ce"
1,4,145,,"x10_y14_lslice2_d_0"
1,4,145,,"x10_y14_lslice2_c_1"
1,4,145,,"x10_y14_lslice2_c_0"
1,4,147,,"x10_y14_mslice0_ce"
1,4,145,,"x10_y14_lslice2_ce"
1,4,148,,"x10_y15_lslice2_sr"
1,4,153,,"x10_y17_mslice1_sr"
1,4,151,,"x10_y17_mslice0_sr"
1,4,152,,"x10_y17_lslice2_sr"
1,4,153,,"x10_y17_mslice1_ce"
1,4,151,,"x10_y17_mslice0_ce"
1,4,152,,"x10_y17_lslice2_ce"
1,4,156,,"x10_y18_mslice1_sr"
1,4,154,,"x10_y18_mslice0_sr"
1,4,155,,"x10_y18_lslice2_sr"
1,4,154,,"x10_y18_mslice0_ce"
1,4,155,,"x10_y18_lslice2_ce"
1,4,157,,"x10_y19_lslice3_sr"
1,4,157,,"x10_y19_lslice3_ce"
1,4,161,,"x10_y20_mslice1_sr"
1,4,160,,"x10_y20_lslice3_sr"
1,4,158,,"x10_y20_mslice0_sr"
